,trade_date,trade_month,price_usd
0,01-Jan-16,1,434.33
1,02-Jan-16,1,433.44
2,03-Jan-16,1,430.01
3,04-Jan-16,1,433.09
4,05-Jan-16,1,431.96
5,06-Jan-16,1,429.11
6,07-Jan-16,1,458.05
7,08-Jan-16,1,453.23
8,09-Jan-16,1,447.61
9,10-Jan-16,1,447.99
10,11-Jan-16,1,448.43
11,12-Jan-16,1,435.69
12,13-Jan-16,1,432.37
13,14-Jan-16,1,430.31
14,15-Jan-16,1,364.33
15,16-Jan-16,1,387.54
16,17-Jan-16,1,382.3
17,18-Jan-16,1,387.17
18,19-Jan-16,1,380.15
19,20-Jan-16,1,420.23
20,21-Jan-16,1,410.26
21,22-Jan-16,1,382.49
22,23-Jan-16,1,387.49
23,24-Jan-16,1,402.97
24,25-Jan-16,1,391.73
25,26-Jan-16,1,392.15
26,27-Jan-16,1,394.97
27,28-Jan-16,1,380.29
28,29-Jan-16,1,379.47
29,30-Jan-16,1,378.26
30,31-Jan-16,1,368.77
31,01-Feb-16,2,373.06
32,02-Feb-16,2,374.45
33,03-Feb-16,2,369.95
34,04-Feb-16,2,389.59
35,05-Feb-16,2,386.55
36,06-Feb-16,2,376.52
37,07-Feb-16,2,376.62
38,08-Feb-16,2,373.45
39,09-Feb-16,2,376.03
40,10-Feb-16,2,381.65
41,11-Feb-16,2,379.65
42,12-Feb-16,2,384.26
43,13-Feb-16,2,391.86
44,14-Feb-16,2,407.23
45,15-Feb-16,2,400.18
46,16-Feb-16,2,407.49
47,17-Feb-16,2,416.32
48,18-Feb-16,2,422.37
49,19-Feb-16,2,420.79
50,20-Feb-16,2,437.16
51,21-Feb-16,2,438.8
52,22-Feb-16,2,437.75
53,23-Feb-16,2,420.74
54,24-Feb-16,2,424.95
55,25-Feb-16,2,424.54
56,26-Feb-16,2,432.15
57,27-Feb-16,2,432.52
58,28-Feb-16,2,433.5
59,29-Feb-16,2,437.7
60,01-Mar-16,3,435.12
61,02-Mar-16,3,423.99
62,03-Mar-16,3,421.65
63,04-Mar-16,3,410.94
64,05-Mar-16,3,400.57
65,06-Mar-16,3,407.71
66,07-Mar-16,3,414.32
67,08-Mar-16,3,413.97
68,09-Mar-16,3,414.86
69,10-Mar-16,3,417.13
70,11-Mar-16,3,421.69
71,12-Mar-16,3,411.62
72,13-Mar-16,3,414.07
73,14-Mar-16,3,416.44
74,15-Mar-16,3,416.83
75,16-Mar-16,3,417.01
76,17-Mar-16,3,420.62
77,18-Mar-16,3,409.55
78,19-Mar-16,3,410.44
79,20-Mar-16,3,413.76
80,21-Mar-16,3,413.31
81,22-Mar-16,3,418.09
82,23-Mar-16,3,418.04
83,24-Mar-16,3,416.39
84,25-Mar-16,3,417.18
85,26-Mar-16,3,417.95
86,27-Mar-16,3,426.77
87,28-Mar-16,3,424.23
88,29-Mar-16,3,416.52
89,30-Mar-16,3,414.82
90,31-Mar-16,3,416.73
91,01-Apr-16,4,417.96
92,02-Apr-16,4,420.87
93,03-Apr-16,4,420.9
94,04-Apr-16,4,421.44
95,05-Apr-16,4,424.03
96,06-Apr-16,4,423.41
97,07-Apr-16,4,422.74
98,08-Apr-16,4,420.35
99,09-Apr-16,4,419.41
100,10-Apr-16,4,421.56
101,11-Apr-16,4,422.48
