trade_date,trade_month,bond_rate
4-Jan-16,1,1.98
5-Jan-16,1,1.98
6-Jan-16,1,1.99
7-Jan-16,1,1.95
8-Jan-16,1,2
11-Jan-16,1,1.98
12-Jan-16,1,2
13-Jan-16,1,1.99
14-Jan-16,1,1.95
15-Jan-16,1,1.95
18-Jan-16,1,1.93
19-Jan-16,1,1.94
20-Jan-16,1,1.9
21-Jan-16,1,1.93
22-Jan-16,1,1.95
25-Jan-16,1,1.95
27-Jan-16,1,1.94
28-Jan-16,1,1.93
29-Jan-16,1,1.89
1-Feb-16,2,1.88
2-Feb-16,2,1.88
3-Feb-16,2,1.81
4-Feb-16,2,1.86
5-Feb-16,2,1.85
8-Feb-16,2,1.87
9-Feb-16,2,1.75
10-Feb-16,2,1.76
11-Feb-16,2,1.75
12-Feb-16,2,1.79
15-Feb-16,2,1.86
16-Feb-16,2,1.88
17-Feb-16,2,1.85
18-Feb-16,2,1.87
19-Feb-16,2,1.81
22-Feb-16,2,1.83
23-Feb-16,2,1.8
24-Feb-16,2,1.79
25-Feb-16,2,1.78
26-Feb-16,2,1.76
29-Feb-16,2,1.77
1-Mar-16,3,1.73
2-Mar-16,3,1.84
3-Mar-16,3,1.91
4-Mar-16,3,1.92
7-Mar-16,3,1.95
8-Mar-16,3,1.95
9-Mar-16,3,1.97
10-Mar-16,3,1.96
11-Mar-16,3,2.02
14-Mar-16,3,2.06
15-Mar-16,3,2.02
16-Mar-16,3,2.01
17-Mar-16,3,1.93
18-Mar-16,3,1.94
21-Mar-16,3,1.94
22-Mar-16,3,1.97
23-Mar-16,3,2
24-Mar-16,3,1.97
29-Mar-16,3,1.96
30-Mar-16,3,1.9
31-Mar-16,3,1.89
1-Apr-16,4,1.94
4-Apr-16,4,1.88
5-Apr-16,4,1.87
6-Apr-16,4,1.87
7-Apr-16,4,1.87
8-Apr-16,4,1.84
11-Apr-16,4,1.85
12-Apr-16,4,1.9
13-Apr-16,4,1.93
14-Apr-16,4,1.97
15-Apr-16,4,2.01
18-Apr-16,4,1.96
19-Apr-16,4,2.01
20-Apr-16,4,1.99
21-Apr-16,4,2.02
22-Apr-16,4,2.05
26-Apr-16,4,2.05
27-Apr-16,4,1.94
28-Apr-16,4,1.87
29-Apr-16,4,1.86
2-May-16,5,1.87
3-May-16,5,1.74
4-May-16,5,1.72
5-May-16,5,1.69
6-May-16,5,1.58
9-May-16,5,1.58
10-May-16,5,1.59
11-May-16,5,1.6
12-May-16,5,1.58
13-May-16,5,1.59
16-May-16,5,1.57
17-May-16,5,1.64
18-May-16,5,1.62
19-May-16,5,1.65
20-May-16,5,1.63
23-May-16,5,1.65
24-May-16,5,1.63
25-May-16,5,1.65
26-May-16,5,1.63
27-May-16,5,1.62
30-May-16,5,1.65
31-May-16,5,1.67
1-Jun-16,6,1.68
2-Jun-16,6,1.65
3-Jun-16,6,1.64
6-Jun-16,6,1.58
7-Jun-16,6,1.66
8-Jun-16,6,1.63
9-Jun-16,6,1.61
10-Jun-16,6,1.64
14-Jun-16,6,1.61
15-Jun-16,6,1.6
16-Jun-16,6,1.55
17-Jun-16,6,1.6
20-Jun-16,6,1.63
21-Jun-16,6,1.67
22-Jun-16,6,1.71
23-Jun-16,6,1.73
24-Jun-16,6,1.55
27-Jun-16,6,1.59
28-Jun-16,6,1.56
29-Jun-16,6,1.59
30-Jun-16,6,1.59
1-Jul-16,7,1.56
4-Jul-16,7,1.61
5-Jul-16,7,1.59
6-Jul-16,7,1.56
7-Jul-16,7,1.56
8-Jul-16,7,1.58
11-Jul-16,7,1.6
12-Jul-16,7,1.63
13-Jul-16,7,1.63
14-Jul-16,7,1.62
15-Jul-16,7,1.62
18-Jul-16,7,1.61
19-Jul-16,7,1.56
20-Jul-16,7,1.55
21-Jul-16,7,1.53
22-Jul-16,7,1.52
25-Jul-16,7,1.53
26-Jul-16,7,1.55
27-Jul-16,7,1.58
28-Jul-16,7,1.53
29-Jul-16,7,1.51
1-Aug-16,8,1.48
2-Aug-16,8,1.43
3-Aug-16,8,1.47
4-Aug-16,8,1.48
5-Aug-16,8,1.47
8-Aug-16,8,1.49
9-Aug-16,8,1.47
10-Aug-16,8,1.43
11-Aug-16,8,1.43
12-Aug-16,8,1.46
15-Aug-16,8,1.43
16-Aug-16,8,1.42
17-Aug-16,8,1.44
18-Aug-16,8,1.42
19-Aug-16,8,1.41
22-Aug-16,8,1.44
23-Aug-16,8,1.41
24-Aug-16,8,1.41
25-Aug-16,8,1.42
26-Aug-16,8,1.43
29-Aug-16,8,1.46
30-Aug-16,8,1.45
31-Aug-16,8,1.44
1-Sep-16,9,1.46
2-Sep-16,9,1.48
5-Sep-16,9,1.49
6-Sep-16,9,1.5
7-Sep-16,9,1.47
8-Sep-16,9,1.51
9-Sep-16,9,1.55
12-Sep-16,9,1.59
13-Sep-16,9,1.58
14-Sep-16,9,1.59
15-Sep-16,9,1.59
16-Sep-16,9,1.58
19-Sep-16,9,1.62
20-Sep-16,9,1.63
21-Sep-16,9,1.62
22-Sep-16,9,1.59
23-Sep-16,9,1.61
26-Sep-16,9,1.6
27-Sep-16,9,1.61
28-Sep-16,9,1.58
29-Sep-16,9,1.59
30-Sep-16,9,1.55
3-Oct-16,10,1.57
4-Oct-16,10,1.6
