trade_date,trade_month,interest_rate
9-Aug-16,8,1.5
10-Aug-16,8,1.5
11-Aug-16,8,1.5
12-Aug-16,8,1.5
15-Aug-16,8,1.5
16-Aug-16,8,1.5
17-Aug-16,8,1.5
18-Aug-16,8,1.5
19-Aug-16,8,1.5
22-Aug-16,8,1.5
23-Aug-16,8,1.5
24-Aug-16,8,1.5
25-Aug-16,8,1.5
26-Aug-16,8,1.5
29-Aug-16,8,1.5
30-Aug-16,8,1.5
31-Aug-16,8,1.5
1-Sep-16,9,1.5
2-Sep-16,9,1.5
5-Sep-16,9,1.5
6-Sep-16,9,1.5
7-Sep-16,9,1.5
8-Sep-16,9,1.5
9-Sep-16,9,1.5
12-Sep-16,9,1.5
13-Sep-16,9,1.5
14-Sep-16,9,1.5
15-Sep-16,9,1.5
16-Sep-16,9,1.5
19-Sep-16,9,1.5
20-Sep-16,9,1.5
21-Sep-16,9,1.5
22-Sep-16,9,1.5
23-Sep-16,9,1.5
26-Sep-16,9,1.5
27-Sep-16,9,1.5
28-Sep-16,9,1.5
29-Sep-16,9,1.5
30-Sep-16,9,1.5
3-Oct-16,10,1.5
4-Oct-16,10,1.5
5-Oct-16,10,1.5
6-Oct-16,10,1.5
7-Oct-16,10,1.5
10-Oct-16,10,1.5
11-Oct-16,10,1.5
12-Oct-16,10,1.5
13-Oct-16,10,1.5
14-Oct-16,10,1.5
17-Oct-16,10,1.5
18-Oct-16,10,1.5
19-Oct-16,10,1.5
20-Oct-16,10,1.5
21-Oct-16,10,1.5
24-Oct-16,10,1.5
25-Oct-16,10,1.5
26-Oct-16,10,1.5
27-Oct-16,10,1.5
28-Oct-16,10,1.5
31-Oct-16,10,1.5
1-Nov-16,11,1.5
2-Nov-16,11,1.5
3-Nov-16,11,1.5
4-Nov-16,11,1.5
7-Nov-16,11,1.5
8-Nov-16,11,1.5
9-Nov-16,11,1.5
10-Nov-16,11,1.5
11-Nov-16,11,1.5
14-Nov-16,11,1.5
15-Nov-16,11,1.5
16-Nov-16,11,1.5
17-Nov-16,11,1.5
18-Nov-16,11,1.5
21-Nov-16,11,1.5
22-Nov-16,11,1.5
23-Nov-16,11,1.5
24-Nov-16,11,1.5
25-Nov-16,11,1.5
28-Nov-16,11,1.5
29-Nov-16,11,1.5
30-Nov-16,11,1.5
1-Dec-16,12,1.5
2-Dec-16,12,1.5
5-Dec-16,12,1.5
6-Dec-16,12,1.5
7-Dec-16,12,1.5
8-Dec-16,12,1.5
9-Dec-16,12,1.5
12-Dec-16,12,1.5
13-Dec-16,12,1.5
14-Dec-16,12,1.5
15-Dec-16,12,1.5
16-Dec-16,12,1.5
19-Dec-16,12,1.5
20-Dec-16,12,1.5
21-Dec-16,12,1.5
22-Dec-16,12,1.5
23-Dec-16,12,1.5
28-Dec-16,12,1.5
29-Dec-16,12,1.5
30-Dec-16,12,1.5
3-Jan-17,1,1.5
4-Jan-17,1,1.5
5-Jan-17,1,1.5
6-Jan-17,1,1.5
9-Jan-17,1,1.5
10-Jan-17,1,1.5
11-Jan-17,1,1.5
12-Jan-17,1,1.5
13-Jan-17,1,1.5
16-Jan-17,1,1.5
17-Jan-17,1,1.5
18-Jan-17,1,1.5
19-Jan-17,1,1.5
20-Jan-17,1,1.5
23-Jan-17,1,1.5
24-Jan-17,1,1.5
25-Jan-17,1,1.5
27-Jan-17,1,1.5
30-Jan-17,1,1.5
31-Jan-17,1,1.5
1-Feb-17,2,1.5
2-Feb-17,2,1.5
3-Feb-17,2,1.5
6-Feb-17,2,1.5
7-Feb-17,2,1.5
8-Feb-17,2,1.5
9-Feb-17,2,1.5
10-Feb-17,2,1.5
13-Feb-17,2,1.5
14-Feb-17,2,1.5
15-Feb-17,2,1.5
16-Feb-17,2,1.5
17-Feb-17,2,1.5
20-Feb-17,2,1.5
21-Feb-17,2,1.5
22-Feb-17,2,1.5
23-Feb-17,2,1.5
24-Feb-17,2,1.5
27-Feb-17,2,1.5
28-Feb-17,2,1.5
1-Mar-17,3,1.5
2-Mar-17,3,1.5
3-Mar-17,3,1.5
6-Mar-17,3,1.5
7-Mar-17,3,1.5
8-Mar-17,3,1.5
9-Mar-17,3,1.5
10-Mar-17,3,1.5
13-Mar-17,3,1.5
14-Mar-17,3,1.5
15-Mar-17,3,1.5
16-Mar-17,3,1.5
17-Mar-17,3,1.5
20-Mar-17,3,1.5
21-Mar-17,3,1.5
22-Mar-17,3,1.5
23-Mar-17,3,1.5
24-Mar-17,3,1.5
27-Mar-17,3,1.5
28-Mar-17,3,1.5
29-Mar-17,3,1.5
30-Mar-17,3,1.5
31-Mar-17,3,1.5
3-Apr-17,4,1.5
4-Apr-17,4,1.5
5-Apr-17,4,1.5
6-Apr-17,4,1.5
7-Apr-17,4,1.5
10-Apr-17,4,1.5
11-Apr-17,4,1.5
12-Apr-17,4,1.5
13-Apr-17,4,1.5
18-Apr-17,4,1.5
19-Apr-17,4,1.5
20-Apr-17,4,1.5
21-Apr-17,4,1.5
24-Apr-17,4,1.5
26-Apr-17,4,1.5
27-Apr-17,4,1.5
28-Apr-17,4,1.5
1-May-17,5,1.5
2-May-17,5,1.5
3-May-17,5,1.5
4-May-17,5,1.5
5-May-17,5,1.5
8-May-17,5,1.5
9-May-17,5,1.5
10-May-17,5,1.5
11-May-17,5,1.5
12-May-17,5,1.5
15-May-17,5,1.5
16-May-17,5,1.5
17-May-17,5,1.5
18-May-17,5,1.5
19-May-17,5,1.5
22-May-17,5,1.5
23-May-17,5,1.5
24-May-17,5,1.5
